t,ID,Name,Year,Equity.Muliplier,TD/TA ratio,STD/TA ratio,LTD/TA ratio,Market.Value
3,15,Imam Button Industries Ltd.,2010,2.372219761,0.578453895,0.406992835,0.17146106,466812500
4,15,Imam Button Industries Ltd.,2011,2.753246653,0.63679244,0.507346476,0.129445963,13706000
5,15,Imam Button Industries Ltd.,2012,2.9103492,0.65639862,0.519872978,0.136525642,70840000
6,15,Imam Button Industries Ltd.,2013,3.754654045,0.733663877,0.606135514,0.127528363,59290000
7,15,Imam Button Industries Ltd.,2014,1.966825674,0.491566531,0.357784365,0.133782166,62370000
8,15,Imam Button Industries Ltd.,2015,1.435844349,0.30354568,0.172106898,0.131438782,80850000
9,15,Imam Button Industries Ltd.,2016,1.835685866,0.314211702,0.243967869,0.070243833,131670000
10,15,Imam Button Industries Ltd.,2017,1.972507687,0.357936079,0.330209308,0.02772677,274120000
1,16,JMI Syringes & Medical Devices Ltd.,2013,3.788816902,0.52082948,0.42576582,0.09506366,2284700000
2,16,JMI Syringes & Medical Devices Ltd.,2014,3.430317891,0.765825123,0.677872922,0.0879522,1819400000
3,16,JMI Syringes & Medical Devices Ltd.,2015,3.020651298,0.648370047,0.324123623,0.324246424,1866700000
4,16,JMI Syringes & Medical Devices Ltd.,2016,2.843733251,0.648349577,0.363021066,0.285328511,1950300000
5,16,JMI Syringes & Medical Devices Ltd.,2017,3.332600455,0.699934026,0.207419984,0.492514042,1995400000
1,17,Keya Cosmetics Ltd.,2008,1.180694223,0.15304066,0,0.15304066,1860480000
2,17,Keya Cosmetics Ltd.,2009,1.117757349,0.105351443,0,0.105351443,2324160000
3,17,Keya Cosmetics Ltd.,2010,1.04450108,0.042605107,0,0.042605107,3499200000
4,17,Keya Cosmetics Ltd.,2011,1.861459277,0.462787066,0.437258127,0.025528939,5275807351
5,17,Keya Cosmetics Ltd.,2012,1.347885501,0.265110771,0.25809722,0.007013551,4981309312
6,17,Keya Cosmetics Ltd.,2013,1.199901823,0.166598483,0.162137983,0.004460499,4960146870
7,17,Keya Cosmetics Ltd.,2014,1.175956321,0.14193123,0.136190486,0.005740744,4172253504
8,17,Keya Cosmetics Ltd.,2015,2.321239046,0.561164489,0.231480421,0.329684067,2148800088
9,17,Keya Cosmetics Ltd.,2016,2.195459387,0.536915439,0.195705,0.341210439,9412442505
10,17,Keya Cosmetics Ltd.,2017,2.231543834,0.545316902,0.245075341,0.300241561,12325911918
1,18,Kohinoor Chemicals Company (Bangladesh) Ltd.,2008,17.74133261,0.321649825,0,0.321649825,300000000
2,18,Kohinoor Chemicals Company (Bangladesh) Ltd.,2009,20.10390879,0.283850101,0,0.283850101,1230000000
3,18,Kohinoor Chemicals Company (Bangladesh) Ltd.,2010,22.83047725,0.249950821,0,0.249950821,1487500000
4,18,Kohinoor Chemicals Company (Bangladesh) Ltd.,2011,3.690196123,0.947626453,0.729011694,0.218614759,1055000000
5,18,Kohinoor Chemicals Company (Bangladesh) Ltd.,2012,37.48962328,0.93998008,0.731904787,0.208075293,1904296875
6,18,Kohinoor Chemicals Company (Bangladesh) Ltd.,2013,12.83899095,0.891486535,0.696009857,0.195476678,3757812500
7,18,Kohinoor Chemicals Company (Bangladesh) Ltd.,2014,7.359851525,1.080176381,0.893344905,0.186831476,3600390625
8,18,Kohinoor Chemicals Company (Bangladesh) Ltd.,2015,5.040914991,0.77206909,0.575210643,0.196858447,3475468750
9,18,Kohinoor Chemicals Company (Bangladesh) Ltd.,2016,4.092171105,0.728004346,0.537109004,0.190895342,4565437500
10,18,Kohinoor Chemicals Company (Bangladesh) Ltd.,2017,2.762827419,0.608134311,0.395116471,0.21301784,4665375000
1,19,Libra Infusions Limited,2008,3.635725636,0.147258149,0,0.147258149,126536760
2,19,Libra Infusions Limited,2009,4.924277342,0.209612138,0,0.209612138,235050480
3,19,Libra Infusions Limited,2010,1.226145123,0.054498777,0,0.054498777,618884910
4,19,Libra Infusions Limited,2011,1.269129748,0.120713115,0.051991288,0.068721827,429924600
5,19,Libra Infusions Limited,2012,1.365669309,0.122058833,0.043207917,0.078850916,256452840
6,19,Libra Infusions Limited,2013,1.405238571,0.191809171,0.121138786,0.070670385,506898000
7,19,Libra Infusions Limited,2014,1.505380861,0.221714738,0.078272032,0.143442706,466846800
8,19,Libra Infusions Limited,2015,2.323937657,0.143215038,0.061832095,0.081382943,363714960
9,19,Libra Infusions Limited,2016,2.310600423,0.490484367,0.410302078,0.080182289,572607000
10,19,Libra Infusions Limited,2017,2.309726828,0.488452306,0.408767948,0.079684358,654586800
1,20,Marico Bangladesh Limited,2009,1.614361396,0.004047398,0.377754886,0.00280513,14376600000
2,20,Marico Bangladesh Limited,2010,1.703708857,0.01058498,0.299890494,0.002162568,19265400000
3,20,Marico Bangladesh Limited,2011,1.873252307,0.008757051,0.46424046,0.001928621,1226925000
4,20,Marico Bangladesh Limited,2012,1.614413345,0.011970524,0.376104727,0.00447522,11998350000
5,20,Marico Bangladesh Limited,2013,1.642531277,0.010970454,0.208723272,0.004892984,24047100000
6,20,Marico Bangladesh Limited,2014,2.15465302,0.015507395,0.528227422,0.006938679,35380800000
7,20,Marico Bangladesh Limited,2015,1.958877387,0.017410465,0.481485021,0.008018504,44991450000
8,20,Marico Bangladesh Limited,2016,2.052584935,0.013200793,0.488653938,0.012620296,29080800000
9,20,Marico Bangladesh Limited,2017,2.374582271,0.012348304,0.567067617,0.011805682,34842150000
1,21,Orion Infusion Ltd.,2008,26.62548951,0.449900894,0,0.449900894,357313788
2,21,Orion Infusion Ltd.,2009,3.3880508,0.264121163,0,0.264121163,1480663546
3,21,Orion Infusion Ltd.,2010,3.437667319,0.170928228,0,0.170928228,1606894058
4,21,Orion Infusion Ltd.,2011,3.893314797,0.743149475,0.301096672,0.442052803,1148290464
5,21,Orion Infusion Ltd.,2012,5.077815498,0.712068966,0.345269718,0.366799248,936548960
6,21,Orion Infusion Ltd.,2013,4.936741793,0.797437249,0.465550815,0.331886433,828642232
7,21,Orion Infusion Ltd.,2014,4.31729521,0.545326181,0.506683443,0.038642738,865289800
8,21,Orion Infusion Ltd.,2015,3.836428469,0.739340897,0.673805956,0.06553494,1103498992
9,21,Orion Infusion Ltd.,2016,2.678331913,0.626633279,0.612743249,0.013890031,1193081936
10,21,Orion Infusion Ltd.,2017,2.668037603,0.625192689,0.613250117,0.011942572,1129966680
1,22,Orion Pharma Ltd.,2013,1.622263463,0.316153989,0.174726652,0.141427337,10647000000
2,22,Orion Pharma Ltd.,2014,1.576391025,0.293508726,0.173476098,0.120032628,8611200000
3,22,Orion Pharma Ltd.,2016,1.561902209,0.193284104,0,0.193284104,9851400000
4,22,Orion Pharma Ltd.,2017,1.603334545,0.157239038,0,0.157239038,11395800000
1,23,Pharma Aids,2009,1.605373719,0.240068234,0.240068234,0,156650000
2,23,Pharma Aids,2010,1.492189513,0.330788788,0.330788788,0,1428960000
3,23,Pharma Aids,2011,1.526395729,0.344861899,0.344861899,0,828048000
4,23,Pharma Aids,2012,1.662863585,0.398627759,0.398627759,0,447096000
5,23,Pharma Aids,2013,1.867252256,0.46445372,0.46445372,0,492024000
6,23,Pharma Aids,2014,1.743694675,0.426505102,0.426505102,0,710736000
7,23,Pharma Aids,2015,1.607169369,0.377788042,0.377788042,0,722592000
8,23,Pharma Aids,2016,1.568002667,0.350357309,0.350357309,0,758784000
9,23,Pharma Aids,2017,1.82510407,0.317485434,0.299655364,0.01783007,1305096000
1,24,Reckitt Benckiser(Bd.)Ltd.,2008,2.42145881,0.658730106,0.56487483,0.093855276,2093175000
2,24,Reckitt Benckiser(Bd.)Ltd.,2009,2.518229799,0.646790316,0.559654794,0.087135522,7353990000
3,24,Reckitt Benckiser(Bd.)Ltd.,2010,3.638193304,0.725138299,0.681246125,0.043892174,5736150000
4,24,Reckitt Benckiser(Bd.)Ltd.,2011,3.706546324,0.730207068,0.696640939,0.033566129,3659512500
5,24,Reckitt Benckiser(Bd.)Ltd.,2012,3.012124764,0.66800844,0.636678902,0.031329538,3402945000
6,24,Reckitt Benckiser(Bd.)Ltd.,2013,2.812864171,0.644490477,0.607055182,0.037435295,4110750000
7,24,Reckitt Benckiser(Bd.)Ltd.,2014,4.853826357,0.793976973,0.744532793,0.04944418,5133712500
8,24,Reckitt Benckiser(Bd.)Ltd.,2015,4.82852863,0.792897573,0.729504065,0.063393508,7603470000
9,24,Reckitt Benckiser(Bd.)Ltd.,2016,6.099975379,0.836064912,0.784420709,0.051644204,7323750000
10,24,Reckitt Benckiser(Bd.)Ltd.,2017,7.718051749,0.756203504,0.702384619,0.053818885,8392545000
1,25,Renata Ltd.,2008,1.855961137,0.003178476,0,0.003178476,9010503140
2,25,Renata Ltd.,2009,1.700533741,0.000152251,0,0.000152251,17426276176
3,25,Renata Ltd.,2010,1.667509807,0.391212591,0.338029268,0.053183323,23393761770
4,25,Renata Ltd.,2011,1.909726756,0.425042283,0.417422827,0.007619457,27225167500
5,25,Renata Ltd.,2012,1.917118111,0.310480692,0.282792738,0.027687953,20884866563
6,25,Renata Ltd.,2013,2.004009497,0.443513985,0.407083971,0.036430015,25488291646
7,25,Renata Ltd.,2014,1.854744251,0.460875968,0.408064704,0.052811264,43421881152
8,25,Renata Ltd.,2015,1.703464514,0.334875398,0.315004628,0.01987077,65296976880
9,25,Renata Ltd.,2016,1.583805565,0.340332177,0.325899201,0.014432976,66103193085
