Company Name,Year,Revenue,COS,A/R,A/P,Inventory,NI,CA,#NAME?,CL,GOI,ROA,CR,QR,RD,PD,ID,CCC,Size=Logarithm of assets,ID,t,net profit margin,Mean,Ind Avg.,gross profit margin,Mean,Ind. Avg.,ROA,Mean,Ind. Avg.
DULAMIACOT,2016,"230,937,869","243,693,752",49687938,376031270,333757094,"-31,359,822",509445032,642642265,376031270,-12.76,-0.05,1.35,0.47,77.46,555.5,493.05,15.01,20.281099,7,4,-13.57933289,,,-0.055235129,,,-0.048798256,,
DULAMIACOT,2017,"243,566,107","243,343,503",2170243,170740446,59279862,"-18,871,462",61450105,686114099,538705917,0.22,-0.03,0.11,0,3.21,252.59,87.7,-161.69,20.346554,7,5,-7.74798359,-9.345220642,,0.000913937,-0.034661993,,-0.027504845,-0.048088916,
MITHUNKNIT,2013,"761,160,596","672,147,862","245,222,550","293,809,200","138,390,286","28,813,725","489,416,955","552,468,360","403,991,328",89.01,0.05,1.21,0.87,115.98,157.36,74.12,32.74,20.129907,8,1,3.78549877,,,0.116943434,,,0.052154525,,
MITHUNKNIT,2014,"1,109,452,966","938,847,153","268,453,906","23,090,014","131,338,603","70,044,757","513,637,636","603,882,460","259,494,298",170.61,0.12,1.98,1.47,87.11,8.85,50.36,128.62,20.21889,8,2,6.313449884,,,0.153774714,,,0.115990713,,
MITHUNKNIT,2015,"219,387,671","190,783,546","379,956,465","265,144,113","175,530,858","10,302,723","683,481,595","768,863,423","371,163,328",28.6,0.01,1.84,1.37,623.48,500.32,331.22,454.39,20.460424,8,3,4.696126703,,,0.130381643,,,0.013399939,,
MITHUNKNIT,2016,"1,030,093,557","888,421,929","333,313,193","22,651,927","153,743,371","58,156,006","572,574,804","682,925,373","211,015,201",141.67,0.09,2.71,1.98,116.49,9.18,62.3,169.61,20.341896,8,4,5.645701364,,,0.137532778,,,0.08515719,,
MITHUNKNIT,2017,"824,947,670","704,670,648","355,589,228","19,794,965","190,959,223","44,981,953","642,285,757","746,567,934","231,164,945",120.28,0.06,2.78,1.95,155.18,10.11,97.56,242.62,20.430997,8,5,5.452703806,5.178696105,,0.145799578,0.136886429,,0.060251654,0.065390804,
PRIMETEX,2013,1947342997,1695426860,138484116,287848629,596728610,69325849,895592240,3544715988,951866626,251.92,0.02,0.94,0.31,25.6,61.12,126.71,91.19,21.988724,9,1,3.560022508,,,0.12936403,,,0.019557519,,
PRIMETEX,2014,1539035341,1322151760,423846398,531769233,598960010,38583615,1153071764,3719777010,1292604357,216.88,0.01,0.89,0.43,99.14,144.79,163.09,117.44,22.03693,9,2,2.506999935,,,0.140921768,,,0.010372561,,
PRIMETEX,2015,2018667255,1750483379,558176434,590139255,383036413,46236895,1094694875,3606985808,1340231558,268.18,0.01,0.82,0.53,99.54,121.37,78.77,56.95,22.006138,9,3,2.29046639,,,0.132851947,,,0.012818707,,
PRIMETEX,2016,2021190727,1736627891,576567746,173456569,378032995,44511016,1130126894,3610133231,1449431502,284.56,0.01,0.78,0.52,102.69,35.96,78.37,145.1,22.007011,9,4,2.202217505,,,0.1407897,,,0.012329466,,
PRIMETEX,2017,1714839326,1472545478,530140167,104499849,272451799,41185073,1003424510,3428382195,1335111240,242.29,0.01,0.75,0.55,111.29,25.55,66.61,152.35,21.955354,9,5,2.40168699,2.592278666,,0.141292449,0.137043979,,0.012012976,0.013418246,
RAHIMTEXT,2013,"409,222,369","292,571,117","86,154,875","69,557,629","46,923,572","7,652,213","170,401,594","686,274,124","230,220,197",116.65,0.01,0.74,0.54,75.79,85.59,57.74,47.94,20.346788,10,1,1.869940057,,,0.285055903,,,0.011150374,,
RAHIMTEXT,2014,"470,214,354","402,062,815","98,110,306","96,117,304","45,831,225","4,418,178","177,365,885","644,672,237","333,526,959",68.15,0.01,0.53,0.39,75.11,86.06,41.04,30.09,20.284253,10,2,0.939609343,,,0.144937173,,,0.006853371,,
RAHIMTEXT,2015,"572,483,346","489,388,934","65,544,142","91,517,701","44,292,544","12,794,642","139,417,711","571,725,778","294,316,418",83.09,0.02,0.47,0.32,41.22,67.32,32.58,6.48,20.16417,10,3,2.234936979,,,0.1451473,,,0.022378984,,
RAHIMTEXT,2016,"575,292,598","505,082,052","124,555,295","98,454,458","68,283,198","23,180,100","224,802,259","710,653,634","416,827,804",70.21,0.03,0.54,0.38,77.94,70.17,48.67,56.44,20.381696,10,4,4.02927138,,,0.122043194,,,0.032618,,
RAHIMTEXT,2017,"598,621,652","506,311,834","86,527,620","140,205,094","49,008,794","23,564,710","175,853,303","624,344,001","327,935,447",92.31,0.04,0.54,0.39,52.04,99.69,34.85,-12.81,20.252212,10,5,3.936494766,2.602050505,,0.154203941,0.170277502,,0.037743151,0.022148776,
ALIF MANUFAC,2013,"513,181,307","398,554,891","56,437,765","15,000,042","152,830,922","104,718,512","549,803,996","1,644,094,569","151,492,454",114.63,0.06,3.63,2.62,39.59,13.55,138.05,164.09,21.220456,11,1,20.4057534,,,0.223364364,,,0.063693728,,
ALIF MANUFAC,2014,"636,714,644","500,444,211","26,891,535","10,988,276","122,843,700","99,250,341","161,348,174","1,758,942,125","167,256,881",136.27,0.06,0.96,0.23,15.2,7.9,88.37,95.67,21.287978,11,2,15.58788414,,,0.214021201,,,0.056426155,,
ALIF MANUFAC,2015,"718,041,067","544,823,374","82,829,313","12,099,326","167,765,388","115,130,466","254,750,197","1,848,369,463","141,598,807",173.22,0.06,1.8,0.61,41.53,7.99,110.85,144.39,21.33757,11,3,16.03396676,,,0.241236471,,,0.062287583,,
ALIF MANUFAC,2016,"668,306,043","390,099,092","209,970,124","15,606,990","199,904,333","198,287,421","474,568,005","2,009,887,119","105,626,795",278.21,0.1,4.49,2.6,113.11,14.4,184.48,283.18,21.421344,11,4,29.67015233,,,0.416286751,,,0.098655999,,
ALIF MANUFAC,2017,"687,563,854","400,316,475","288,930,614","21,752,497","178,821,418","210,521,682","704,814,474","2,269,519,516","121,269,055",287.25,0.09,5.81,4.34,151.28,19.56,160.81,292.53,21.542834,11,5,30.61849176,22.46324968,,0.417775567,0.302536871,,0.092760463,0.074764786,
ARGON DENIM,2013,"1,588,441,173","1,179,822,841","579,837,797","2,028,718","419,961,303","135,923,071","1,039,335,230","1,909,544,255","995,718,525",408.62,0.07,1.04,0.62,131.41,0.62,128.14,258.94,21.37013,12,1,8.557010062,,,0.257244863,,,0.071180896,,
ARGON DENIM,2014,"2,171,292,501","1,710,290,376","1,244,651,971","2,000,000","680,878,255","226,839,436","2,048,762,103","3,832,899,539","1,714,881,618",461,0.06,1.19,0.8,206.36,0.42,143.32,349.26,22.066887,12,2,10.44720764,,,0.212316915,,,0.059182202,,
ARGON DENIM,2015,"2,521,265,296","1,944,056,467","1,418,276,421","2,100,890","821,196,663","298,411,465","2,394,742,650","4,065,681,263","1,716,320,278",577.21,0.07,1.4,0.92,202.51,0.39,152.07,354.19,22.125847,12,3,11.83578204,,,0.228936173,,,0.073397654,,
ARGON DENIM,2016,"4,077,118,834","3,157,806,585","1,726,962,540","1,768,900","891,390,575","436,081,786","2,922,055,293","4,521,407,940","1,714,064,475",919.31,0.1,1.7,1.18,152.49,0.2,101.62,253.91,22.232089,12,4,10.69583212,,,0.225480857,,,0.096448228,,
